Iterations,Error
1590,0.388047
1591,0.388047
1592,0.388047
1593,0.388047
1594,0.388047
1595,0.388047
1596,0.388047
1597,0.388047
1598,0.388047
1599,0.388047
1600,0.388047
1601,0.388047
1602,0.388047
1603,0.388048
1604,0.388048
1605,0.388048
1606,0.388048
1607,0.388048
1608,0.388048
1609,0.388048
1610,0.388048
1611,0.388048
1612,0.388048
1613,0.388048
1614,0.388048
1615,0.388049
1616,0.388049
1617,0.388049
1618,0.388049
1619,0.388049
1620,0.388049
1621,0.388049
1622,0.388049
1623,0.388049
1624,0.388049
1625,0.388049
1626,0.388049
1627,0.38805
1628,0.38805
1629,0.38805
1630,0.38805
1631,0.38805
1632,0.38805
1633,0.38805
1634,0.38805
1635,0.38805
1636,0.38805
1637,0.38805
1638,0.38805
1639,0.38805
1640,0.388051
1641,0.388051
1642,0.388051
1643,0.388051
1644,0.388051
1645,0.388051
1646,0.388051
1647,0.388051
1648,0.388051
1649,0.388051
1650,0.388051
1651,0.388051
1652,0.388052
1653,0.388052
1654,0.388052
1655,0.388052
1656,0.388052
1657,0.388052
1658,0.388052
1659,0.388052
1660,0.388052
1661,0.388052
1662,0.388052
1663,0.388052
1664,0.388052
1665,0.388053
1666,0.388053
1667,0.388053
1668,0.388053
1669,0.388053
1670,0.388053
1671,0.388053
1672,0.388053
1673,0.388053
1674,0.388053
1675,0.388053
1676,0.388053
1677,0.388054
1678,0.388054
1679,0.388054
1680,0.388054
1681,0.388054
1682,0.388054
1683,0.388054
1684,0.388054
1685,0.388054
1686,0.388054
1687,0.388054
1688,0.388054
1689,0.388054
1690,0.388055
1691,0.388055
1692,0.388055
1693,0.388055
1694,0.388055
1695,0.388055
1696,0.388055
1697,0.388055
1698,0.388055
1699,0.388055
1700,0.388055
1701,0.388055
1702,0.388056
1703,0.388056
1704,0.388056
1705,0.388056
1706,0.388056
1707,0.388056
1708,0.388056
1709,0.388056
1710,0.388056
1711,0.388056
1712,0.388056
1713,0.388056
1714,0.388056
1715,0.388057
1716,0.388057
1717,0.388057
1718,0.388057
